ID;QUESTIONS ;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Ktory z nich glowna role zagral tylko w jednym filmie z serii o Jamesie Bondzie?;Sean Connery ;Roger Moore ;George Lazenby ;Pierce Brosnan ;3
2;Zwyczajowo nazywany jest agrestem.;porzeczka agrest ;malina agrest ;agrest jezyna ;agrest borowka ;1
3;Jesli pokonujemy rzeke w brod, to na pewno:;nie pieszo ;wplaw ;nie lodzi¹ ;z duzym bagazem ;3
4;Perykles, który zy³ w V w. p.n.e. w Atenach, uwazany jest za ojca:;demokracji ;oligarchii ;monarchii ;tyranii ;1
5;Jakiej duszy nie ma, kiedy nikogo nie ma?;zywej ;dusznej ;uduchowionej ;martwej ;1
6;Kapnaæ to uroniæ krople, a kapnac siê:;wziac prysznic ;domyslic siê ;napic siê kapke ;napic siê kapke ;2
7;Kto jest drugoplanowym bohaterem filmu Paolo Sorrentino „To by³a rêka Boga” z 2021 roku? ;Pele ;Lionel Messi ;Robert Lewandowski ;Diego Maradona ;4
8;Ktore to sikory?;zegary wiezowe ;zegarki nareczne ;zegary z kukulk¹ ;zegary astronomiczne ;2
9;Ile glownych por roku jest na sawannie?;jedna ;dwie ;trzy ;cztery ;2
10;Najpopularniejsze imiê nadawane chlopcom w 2020 r. to:;Edward ;Jaroslaw ;Zdzislaw ;Antoni ;4
