ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Ktora religia ma w Mongolii najwiecej wyznawcow?;buddyzm ;prawoslawie ;islam;chrzescijanstwo ;1
2;Ilu amerykanskich prezydentow zostalo sportretowanych w granitowej scianie Mount Rushmore? ;4;2;5;3;1
3;Jakie zwierze widnieje w herbie Lublina?;Kon ;Gryf ;Koziol ;Smok;3
4;Wyspy Owcze sa terytorium zaleznym:;Irlandii ;Francji ;Danii ;Niemiec;3
5;Pierwszy, historyczny Lancer Evolution powstal w roku?;1991;1992;1993;1994;2
6;Rafael Nadal to slynny tenisista;Hiszpanski;Wloski;Norweski;Portugalski;1
7;Muhammad Ali to legendarny;pilkarz;bosker;kierowca wyscigowy;tenisista;2
8;W ktorym roku Titanic zatonal na Oceanie Atlantyckim 15 kwietnia podczas dziewiczej podrozy z Southampton? ;1912;1914;1910;1913;1
9;Z iloma krajami graniczy Polska?;5;7;6;8;2
10;Data terrorystycznego ataku na WTC to:;11 sierpnia 2001 r ;11 wrzesnia 2001 r ;11 pazdziernika 2001 r ;11 listopad 2001 r;2
